Cuenta,Año,Valor,NIT
Activos no corrientes distintos al efectivo pignorados como garantía colateral para las que el receptor de transferencias tiene derecho por contrato o costumbre a vender o pignorar de nuevo la garantía colateral,2023,0,Crepes & Waffles
Total de activos no corrientes,2023,$296.801.456,Crepes & Waffles
Total Activos,2023,$523.468.844,Crepes & Waffles
Provisiones corrientes por beneficios a los empleados,2023,$9.931.274,Crepes & Waffles
Otras provisiones corrientes,2023,0,Crepes & Waffles
Total provisiones corrientes,2023,$9.931.274,Crepes & Waffles
Cuentas por pagar comerciales y otras cuentas por pagar corrientes,2023,$169.598.742,Crepes & Waffles
"Pasivos por impuestos corrientes, corriente",2023,$20.167.998,Crepes & Waffles
Otros pasivos financieros corrientes,2023,$41.891.309,Crepes & Waffles
Otros pasivos no financieros corrientes,2023,$5.361.250,Crepes & Waffles
Total de pasivos corrientes distintos de los pasivos incluidos en grupos de activos para su disposición clasificados como mantenidos para la venta,2023,$246.950.573,Crepes & Waffles
Pasivos incluidos en grupos de activos para su disposición clasificados como mantenidos para la venta,2023,0,Crepes & Waffles
Pasivos corrientes totales,2023,$246.950.573,Crepes & Waffles
Provisiones no corrientes por beneficios a los empleados,2023,0,Crepes & Waffles
Otras provisiones no corrientes,2023,0,Crepes & Waffles
Total provisiones no corrientes,2023,0,Crepes & Waffles
Cuentas comerciales por pagar y otras cuentas por pagar no corrientes,2023,0,Crepes & Waffles
Pasivo por impuestos diferidos,2023,$60.907.078,Crepes & Waffles
"Pasivos por impuestos corrientes, no corriente",2023,0,Crepes & Waffles
Otros pasivos financieros no corrientes,2023,$105.453.033,Crepes & Waffles
Otros pasivos no financieros no corrientes,2023,0,Crepes & Waffles
Total de pasivos no corrientes,2023,$166.360.111,Crepes & Waffles
Total pasivos,2023,$413.310.684,Crepes & Waffles
Capital emitido,2023,$4.310.088,Crepes & Waffles
Prima de emisión,2023,0,Crepes & Waffles
Acciones propias en cartera,2023,0,Crepes & Waffles
Inversión suplementaria al capital asignado,2023,0,Crepes & Waffles
Otras participaciones en el patrimonio,2023,0,Crepes & Waffles
Superavit por revaluación,2023,$2.833.168,Crepes & Waffles
Otras reservas,2023,$17.179.414,Crepes & Waffles
Ganancias acumuladas,2023,$85.835.490,Crepes & Waffles
Patrimonio Total,2023,$110.158.160,Crepes & Waffles
Total de patrimonio y pasivos,2023,$523.468.844,Crepes & Waffles
